Do,sigun,myeon,ri,region_symbol,x_coordinate_1st,y_coordinate_1st,dbh_3rd,height_3rd,crown_width_leftright_2nd,crown_width_updown_2nd,crown_class_3rd
강원도,양구군,남면,두무리,북부01,5.6,0.6,17.5,14.0,4.7,4.2,준우세목
강원도,양구군,남면,두무리,북부01,18.9,6.7,28.1,20.2,7.5,6.4,우세목
강원도,양구군,남면,두무리,북부01,12.0,4.8,24.2,18.1,5.8,6.7,우세목
강원도,양구군,남면,두무리,북부01,0.7,12.2,24.2,17.6,5.8,5.8,준우세목
강원도,양구군,남면,두무리,북부01,2.5,10.1,24.3,17.1,10.9,5.3,준우세목
강원도,양구군,남면,두무리,북부01,4.2,11.7,23.0,15.4,5.7,4.5,준우세목
강원도,양구군,남면,두무리,북부01,6.8,9.0,30.2,19.5,5.9,6.5,우세목
강원도,양구군,남면,두무리,북부01,11.7,10.4,22.2,14.7,5.2,5.3,준우세목
강원도,양구군,남면,두무리,북부01,3.5,19.2,28.8,20.2,6.4,8.4,우세목
강원도,양구군,남면,두무리,북부01,0.3,19.0,28.5,18.8,6.6,5.7,준우세목
강원도,양구군,남면,두무리,북부02,14.8,0.5,23.3,13.1,3.3,6.5,준우세목
강원도,양구군,남면,두무리,북부02,20.0,0,25.0,16.1,3.5,4.8,우세목
강원도,양구군,남면,두무리,북부02,8.9,4.6,27.4,15.0,3.6,4.6,우세목
강원도,양구군,남면,두무리,북부02,4.5,2.6,19.9,12.9,3,5.7,준우세목
강원도,양구군,남면,두무리,북부02,3.6,5.0,10.4,7.1,2.9,3.9,피압목
강원도,양구군,남면,두무리,북부02,11.6,10.6,30.6,18.0,5.6,7,우세목
강원도,양구군,남면,두무리,북부02,15.4,10.6,25.4,16.8,3.4,3.9,우세목
강원도,양구군,남면,두무리,북부02,15.9,14.1,39.8,18.8,5.1,7.6,우세목
강원도,양구군,남면,두무리,북부02,0.5,19.5,36.6,13.0,6.3,6.5,우세목
강원도,양구군,남면,두무리,북부02,9.7,19.1,21.8,14.3,3.9,3.3,준우세목
강원도,화천군,간동면,방천리,북부03,8.1,2.4,14.2,12.7,2.4,3.6,중간목
강원도,화천군,간동면,방천리,북부03,7.7,5.3,16.1,14.0,2.2,2.3,중간목
강원도,화천군,간동면,방천리,북부03,5.8,4.9,12.7,10.5,3.5,3.3,피압목
강원도,화천군,간동면,방천리,북부03,0.3,10.4,15.3,14.0,3.6,3.4,중간목
강원도,화천군,간동면,방천리,북부03,6.7,10.2,27.1,12.1,6.4,7.4,우세목
강원도,화천군,간동면,방천리,북부03,8.9,12.1,19.9,14.0,2.4,5.1,우세목
강원도,화천군,간동면,방천리,북부03,13.4,6.7,23.0,15.9,3.9,4.7,우세목
강원도,화천군,간동면,방천리,북부03,19.4,7.8,17.6,13.1,2.4,2.9,준우세목
강원도,화천군,간동면,방천리,북부03,17.7,9.8,20.9,12.9,4.6,4.1,준우세목
강원도,화천군,간동면,방천리,북부03,19.1,11.9,10.2,10.0,2.9,3.4,피압목
강원도,화천군,간동면,방천리,북부03,13.4,13.2,25.8,15.2,4.3,5.6,우세목
강원도,화천군,간동면,방천리,북부03,8.4,15.2,14.4,11.9,2.3,4.8,중간목
